DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
JAN 22,25.33,21.17,25.51,21.09,805.48M,0.2091
DEZ 21,20.95,22.56,23.77,20.91,587.02M,-0.0639
NOV 21,22.38,23.43,24.57,21.83,854.46M,-0.0391
OUT 21,23.29,24.27,25.36,22.89,890.27M,-0.0336
SET 21,24.10,25.88,26.35,22.38,868.19M,-0.0644
AGO 21,25.76,25.56,26.15,24.32,766.44M,0.025099999999999997
JUL 21,25.13,24.71,25.90,23.73,615.14M,0.017
JUN 21,24.71,24.74,28.47,24.68,876.49M,0.009399999999999999
MAI 21,24.48,22.92,24.80,21.94,714.96M,0.0756
ABR 21,22.76,23.21,23.44,21.87,549.32M,-0.0134
MAR 21,23.07,21.32,23.64,19.69,953.44M,0.0975
FEV 21,21.02,23.72,24.07,20.88,824.26M,-0.0928
JAN 21,23.17,26.10,27.29,22.78,713.57M,-0.10189999999999999
DEZ 20,25.80,23.65,26.46,23.56,588.75M,0.11019999999999999
NOV 20,23.24,19.45,24.56,19.29,973.09M,0.21739999999999998
OUT 20,19.09,18.34,21.39,18.04,765.85M,0.0443
SET 20,18.28,19.40,20.72,18.12,738.81M,-0.0444
AGO 20,19.13,21.96,22.46,19.09,827.94M,-0.1217
JUL 20,21.78,20.73,23.07,20.69,751.01M,0.057300000000000004
JUN 20,20.60,18.48,23.23,18.37,982.84M,0.1052
MAI 20,18.64,17.76,19.75,16.77,850.72M,0.0125
ABR 20,18.41,17.96,20.33,16.18,780.13M,-0.0129
MAR 20,18.65,25.77,26.09,16.16,1.15B,-0.2783
FEV 20,25.84,25.86,27.80,24.68,687.09M,0.0054
JAN 20,25.70,29.20,29.95,25.49,540.12M,-0.1153
