DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 21,77.96,71.30,80.67,69.97,494.44M,0.11449999999999999
NOV 21,69.95,72.00,72.86,61.85,603.56M,-0.0232
OUT 21,71.61,76.75,83.10,71.02,525.40M,-0.060700000000000004
SET 21,76.24,88.20,91.39,73.50,725.81M,-0.1471
AGO 21,89.39,100.46,102.59,87.11,514.30M,-0.0928
JUL 21,98.53,102.74,106.53,98.53,420.97M,-0.039599999999999996
JUN 21,102.59,103.94,104.83,93.19,533.96M,0.0060999999999999995
MAI 21,101.97,97.45,107.00,94.19,587.38M,0.0529
ABR 21,96.85,87.50,100.34,85.40,453.24M,0.1128
MAR 21,87.03,81.61,90.55,80.49,672.16M,0.08310000000000001
FEV 21,80.35,76.51,84.11,74.39,550.70M,0.0748
JAN 21,74.76,75.95,87.85,74.63,647.86M,0.005600000000000001
