DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 20,20.06,18.38,20.12,17.75,701.29M,0.10400000000000001
NOV 20,18.17,16.76,18.87,16.36,943.14M,0.0999
OUT 20,16.52,17.91,18.93,16.30,770.85M,-0.0719
SET 20,17.80,18.95,19.37,17.26,794.82M,-0.051699999999999996
AGO 20,18.77,20.27,20.75,18.24,769.11M,-0.0731
JUL 20,20.25,17.71,22.27,17.61,714.30M,0.1545
JUN 20,17.54,14.27,17.82,14.27,764.38M,0.2097
MAI 20,14.50,12.06,15.28,11.26,852.04M,0.1856
ABR 20,12.23,10.99,13.77,10.56,943.08M,0.07
MAR 20,11.43,14.94,15.85,9.17,1.71B,-0.24
FEV 20,15.04,15.19,16.77,14.02,640.95M,-0.004
JAN 20,15.10,13.53,15.50,13.45,898.15M,0.1311
DEZ 19,13.35,14.87,15.36,13.31,771.50M,-0.0992
NOV 19,14.82,15.07,15.66,14.23,502.20M,-0.013999999999999999
OUT 19,15.03,13.63,15.17,13.20,482.44M,0.1092
SET 19,13.55,13.73,14.30,13.14,522.57M,-0.0195
AGO 19,13.82,13.10,14.43,12.73,769.80M,0.0623
JUL 19,13.01,11.69,13.37,11.50,573.17M,0.1293
JUN 19,11.52,11.32,12.22,10.81,764.31M,0.029500000000000002
MAI 19,11.19,10.48,11.51,9.57,584.22M,0.0617
ABR 19,10.54,9.87,10.73,9.24,565.00M,0.0722
MAR 19,9.83,9.94,10.62,9.36,561.94M,-0.015
FEV 19,9.98,9.51,10.34,9.28,703.52M,0.0418
JAN 19,9.58,8.17,9.92,8.12,844.13M,0.174
