DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 20,74.34,67.86,75.30,65.72,604.78M,0.1213
NOV 20,66.30,52.62,67.46,52.04,747.79M,0.28809999999999997
OUT 20,51.47,50.60,54.31,49.32,484.25M,0.024300000000000002
SET 20,50.25,49.19,51.94,47.59,619.34M,0.0318
AGO 20,48.70,50.47,52.12,48.43,710.30M,-0.017
JUL 20,49.54,45.76,51.36,44.10,564.37M,0.0857
JUN 20,45.63,43.10,46.47,42.41,542.44M,0.055
MAI 20,43.25,35.66,43.79,35.41,647.36M,0.18170000000000003
ABR 20,36.60,34.11,38.66,32.44,593.52M,0.0377
MAR 20,35.27,36.62,40.06,26.48,1.03B,-0.024300000000000002
FEV 20,36.15,41.21,44.00,35.25,462.44M,-0.11869999999999999
JAN 20,41.02,44.04,46.80,40.63,489.83M,-0.056799999999999996
DEZ 19,43.49,39.86,44.06,39.83,346.68M,0.0946
NOV 19,39.73,38.00,40.94,37.33,347.21M,0.058899999999999994
OUT 19,37.52,38.04,38.89,35.15,377.57M,-0.0116
SET 19,37.96,37.00,39.98,36.04,367.13M,0.048
AGO 19,36.22,39.14,39.22,33.74,500.48M,-0.0851
JUL 19,39.59,42.21,43.05,39.12,405.27M,-0.0388
JUN 19,41.19,39.23,42.21,38.04,349.66M,0.0575
MAI 19,38.95,39.17,40.54,36.42,473.34M,-0.0218
ABR 19,39.82,41.61,42.76,39.25,325.85M,-0.0163
MAR 19,40.48,37.59,41.64,35.41,421.03M,0.0812
FEV 19,37.44,36.34,37.96,32.20,509.03M,0.0351
JAN 19,36.17,39.75,44.67,33.67,700.71M,-0.10779999999999999
