DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 20,74.34,67.86,75.30,65.72,604.78M,0.1213
NOV 20,66.30,52.62,67.46,52.04,747.79M,0.28809999999999997
OUT 20,51.47,50.60,54.31,49.32,484.25M,0.024300000000000002
SET 20,50.25,49.19,51.94,47.59,619.34M,0.0318
AGO 20,48.70,50.47,52.12,48.43,710.30M,-0.017
JUL 20,49.54,45.76,51.36,44.10,564.37M,0.0857
JUN 20,45.63,43.10,46.47,42.41,542.44M,0.055
MAI 20,43.25,35.66,43.79,35.41,647.36M,0.18170000000000003
ABR 20,36.60,34.11,38.66,32.44,593.52M,0.0377
MAR 20,35.27,36.62,40.06,26.48,1.03B,-0.024300000000000002
FEV 20,36.15,41.21,44.00,35.25,462.44M,-0.11869999999999999
JAN 20,41.02,44.04,46.80,40.63,489.83M,-0.056799999999999996
