DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 20,119.017,108.897,120.15,108.897,177.04M,0.09300000000000001
NOV 20,108.893,93.968,111.603,93.968,217.76M,0.159
OUT 20,93.952,94.604,102.218,93.387,198.14M,-0.0069
SET 20,94.603,99.382,103.226,93.408,190.35M,-0.048
AGO 20,99.369,102.913,104.523,98.513,202.70M,-0.0344
JUL 20,102.912,95.062,105.704,95.062,221.52M,0.0827
JUN 20,95.056,87.395,97.694,86.837,232.33M,0.0876
MAI 20,87.403,80.501,88.091,75.697,220.36M,0.0857
ABR 20,80.506,73.011,83.598,67.803,209.52M,0.1025
MAR 20,73.02,104.26,108.804,61.691,270.52M,-0.299
FEV 20,104.172,113.761,117.701,99.951,126.65M,-0.0843
JAN 20,113.761,115.652,119.593,112.826,122.06M,-0.0163
