DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 21,104.822,101.916,109.493,100.727,234.06M,0.0285
NOV 21,101.916,103.514,108.669,100.075,236.34M,-0.015300000000000001
OUT 21,103.501,110.98,114.927,102.854,243.86M,-0.0674
SET 21,110.979,118.793,119.942,107.52,231.61M,-0.06570000000000001
AGO 21,118.781,121.803,124.536,114.801,201.79M,-0.0248
JUL 21,121.801,126.802,129.62,121.748,161.31M,-0.0394
JUN 21,126.802,126.218,131.19,126.184,197.83M,0.0046
MAI 21,126.216,118.951,126.216,117.631,184.24M,0.0616
ABR 21,118.894,116.645,121.974,114.991,167.26M,0.0194
MAR 21,116.634,110.036,117.249,107.319,246.48M,0.06
FEV 21,110.035,115.093,121.117,109.827,190.63M,-0.0437
JAN 21,115.068,119.024,125.324,114.887,186.73M,-0.0332
