DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 20,119.017,108.897,120.15,108.897,177.04M,0.09300000000000001
NOV 20,108.893,93.968,111.603,93.968,217.76M,0.159
OUT 20,93.952,94.604,102.218,93.387,198.14M,-0.0069
SET 20,94.603,99.382,103.226,93.408,190.35M,-0.048
AGO 20,99.369,102.913,104.523,98.513,202.70M,-0.0344
JUL 20,102.912,95.062,105.704,95.062,221.52M,0.0827
JUN 20,95.056,87.395,97.694,86.837,232.33M,0.0876
MAI 20,87.403,80.501,88.091,75.697,220.36M,0.0857
ABR 20,80.506,73.011,83.598,67.803,209.52M,0.1025
MAR 20,73.02,104.26,108.804,61.691,270.52M,-0.299
FEV 20,104.172,113.761,117.701,99.951,126.65M,-0.0843
JAN 20,113.761,115.652,119.593,112.826,122.06M,-0.0163
DEZ 19,115.645,108.233,117.803,108.191,99.88M,0.06849999999999999
NOV 19,108.233,107.221,109.672,105.261,95.99M,0.0095
OUT 19,107.22,104.745,108.408,99.826,103.19M,0.0236
SET 19,104.745,101.133,106.001,99.406,97.54M,0.035699999999999996
AGO 19,101.135,101.819,104.848,95.855,119.85M,-0.0067
JUL 19,101.812,100.974,106.65,100.073,97.40M,0.0084
JUN 19,100.967,97.036,102.617,95.686,90.98M,0.0406
MAI 19,97.03,96.339,97.992,89.409,101.11M,0.006999999999999999
ABR 19,96.353,95.423,97.61,92.338,93.19M,0.0098
MAR 19,95.415,95.584,100.439,91.584,89.38M,-0.0018
FEV 19,95.584,97.396,98.589,93.424,97.94M,-0.018600000000000002
JAN 19,97.394,87.887,98.405,87.536,109.60M,0.1082
