DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 20,25.80,23.65,26.46,23.56,588.75M,0.11019999999999999
NOV 20,23.24,19.45,24.56,19.29,973.09M,0.21739999999999998
OUT 20,19.09,18.34,21.39,18.04,765.85M,0.0443
SET 20,18.28,19.40,20.72,18.12,738.81M,-0.0444
AGO 20,19.13,21.96,22.46,19.09,827.94M,-0.1217
JUL 20,21.78,20.73,23.07,20.69,751.01M,0.057300000000000004
JUN 20,20.60,18.48,23.23,18.37,982.84M,0.1052
MAI 20,18.64,17.76,19.75,16.77,850.72M,0.0125
ABR 20,18.41,17.96,20.33,16.18,780.13M,-0.0129
MAR 20,18.65,25.77,26.09,16.16,1.15B,-0.2783
FEV 20,25.84,25.86,27.80,24.68,687.09M,0.0054
JAN 20,25.70,29.20,29.95,25.49,540.12M,-0.1153
DEZ 19,29.05,27.31,29.51,27.25,439.25M,0.0672
NOV 19,27.22,28.67,29.71,26.61,361.46M,-0.0388
OUT 19,28.32,27.53,29.34,25.45,452.02M,0.0347
SET 19,27.37,26.49,28.45,25.61,402.47M,0.032400000000000005
AGO 19,26.51,26.88,28.52,25.53,462.44M,-0.0023
JUL 19,26.57,28.06,28.81,26.48,446.53M,-0.0394
JUN 19,27.66,26.85,27.91,25.54,398.78M,0.0363
MAI 19,26.69,25.67,26.99,23.72,431.12M,0.0353
ABR 19,25.78,26.45,26.52,24.39,355.91M,-0.0172
MAR 19,26.23,27.04,28.70,24.87,398.65M,-0.022400000000000003
FEV 19,26.83,28.00,28.86,26.16,495.25M,-0.045899999999999996
JAN 19,28.12,25.70,28.56,25.63,443.65M,0.0929
